corpus,language,spec,predictor,beta,se,stat,p,ci95_low,ci95_high
English-UK,English-UK,M_new_post_OLS_cluster_child,cumulative_cue_attempts_z,0.022482852637200134,0.00922912918071442,2.4360751915989276,0.014847597808409871,0.004394091834332214,0.04057161344006806
English-UK,English-UK,M_new_post_OLS_cluster_child,COI_x_cumulative,0.024256509670845992,0.004759762515876976,5.096159648708183,3.466128549515954e-07,0.014927546564763361,0.033585472776928624
English-UK,English-UK,M_new_post_OLS_cluster_child,prior_local_freq_z,0.1532330650883033,0.004207110713023923,36.42239901458756,1.8820738627834845e-290,0.1449872796118038,0.16147885056480282
English-UK,English-UK,M_new_post_OLS_cluster_child,log_cue_freq_z,0.10775988214603072,0.009187276198201517,11.729252481505409,9.025217827716088e-32,0.08975315168153367,0.12576661261052777
English-UK,English-UK,M_new_post_MixedLM_child,Intercept,0.4521801450751939,0.008080804532502917,55.95731752406803,0.0,,
English-UK,English-UK,M_new_post_MixedLM_child,COI_z,0.0038067089525535593,0.0010673546484964108,3.566489318162519,0.0003617955499384266,,
English-UK,English-UK,M_new_post_MixedLM_child,cumulative_cue_attempts_z,0.048582395612176456,0.0014484598478963974,33.540726505282706,1.2291549713569077e-246,,
English-UK,English-UK,M_new_post_MixedLM_child,COI_x_cumulative,0.013334007607010992,0.0018377990762114312,7.2554218682592095,4.004118584406186e-13,,
English-UK,English-UK,M_new_post_MixedLM_child,prior_local_freq_z,0.14398054451343192,0.0010367975373157207,138.87045380740295,0.0,,
English-UK,English-UK,M_new_post_MixedLM_child,log_cue_freq_z,0.10044919728300866,0.0010525399281179995,95.4350467849875,0.0,,
English-UK,English-UK,S1_pre_OLS_cluster_cue,const,0.3114714575577732,0.012098552959488211,25.74452156392007,3.712523934432554e-146,0.28775872949212583,0.3351841856234206
English-UK,English-UK,S1_pre_OLS_cluster_cue,COI_z,-0.014246299098752108,0.012394160063385585,-1.149436430213456,0.25037606541501345,-0.03853840644161252,0.01004580824410831
English-UK,English-UK,S1_pre_OLS_cluster_cue,cumulative_cue_attempts_z,0.027772488482334438,0.006613082397175613,4.199628375142553,2.673534165630748e-05,0.014811085157074431,0.040733891807594444
English-UK,English-UK,S1_pre_OLS_cluster_cue,COI_x_cumulative,-0.0167844190737156,0.010630192337016378,-1.578938418194845,0.1143501828550894,-0.03761921320300137,0.004050375055570168
English-UK,English-UK,S1_pre_OLS_cluster_cue,prior_local_freq_z,0.1501758704843889,0.009008406692160263,16.670636175327466,2.1430152487640103e-62,0.13251971780966518,0.16783202315911264
English-UK,English-UK,S1_pre_OLS_cluster_cue,log_cue_freq_z,0.06921460049949228,0.012410479292226417,5.5771093822981035,2.445481107218452e-08,0.04489050805584836,0.0935386929431362
English-UK,English-UK,S1_pre_MixedLM_child,Intercept,0.3032038957315853,0.009692651906969985,31.281830673559153,8.24396763981988e-215,,
English-UK,English-UK,S1_pre_MixedLM_child,COI_z,-0.01300218892293532,0.005449863343181038,-2.3857825608056538,0.017042824370794036,,
English-UK,English-UK,S1_pre_MixedLM_child,cumulative_cue_attempts_z,0.018801160171324605,0.0069238628145121325,2.715414888336341,0.006619278814862342,,
English-UK,English-UK,S1_pre_MixedLM_child,COI_x_cumulative,-0.013270792486814441,0.008691737110896526,-1.526828563438408,0.1268036469180122,,
English-UK,English-UK,S1_pre_MixedLM_child,prior_local_freq_z,0.14709175605382094,0.005196910505579262,28.30369233718903,3.112568826123091e-176,,
English-UK,English-UK,S1_pre_MixedLM_child,log_cue_freq_z,0.07561375295489021,0.005839279711316763,12.9491575490634,2.375465747419707e-38,,
English-UK,English-UK,S4_post_OLS_cluster_cue,const,0.3952767356936006,0.010593896998055383,37.3117405017396,1.0587216897239424e-304,0.37451307912148507,0.41604039226571615
English-UK,English-UK,S4_post_OLS_cluster_cue,COI_z,0.009573931310388459,0.00931439091633003,1.0278644515127018,0.30401359340991996,-0.008681939423545431,0.02782980204432235
English-UK,English-UK,S4_post_OLS_cluster_cue,cumulative_cue_attempts_z,0.014476824315033379,0.010678813863493059,1.3556584560879297,0.17520786334077731,-0.006453266255020044,0.0354069148850868
English-UK,English-UK,S4_post_OLS_cluster_cue,COI_x_cumulative,0.02807167418748043,0.009639812886586057,2.9120559203532443,0.003590583486991073,0.00917798811206666,0.0469653602628942
English-UK,English-UK,S4_post_OLS_cluster_cue,prior_local_freq_z,0.15275471193694076,0.018747914071652563,8.147824411458696,3.705298351874508e-16,0.11600947557125005,0.18949994830263148
English-UK,English-UK,S4_post_OLS_cluster_cue,log_cue_freq_z,0.11131906436808064,0.023132651522335727,4.812205131806725,1.4927401945781178e-06,0.06597990051738697,0.15665822821877431
English-UK,English-UK,S4_post_OLS_cluster_cue,age_z,0.010476533292762947,0.004540846465959705,2.307176287791254,0.021044994435007743,0.0015766377601559405,0.019376428825369954
